iter	RMSE
191	204.1108448
192	204.0683651
193	204.0232752
194	203.9937087
195	203.9832061
196	203.9329362
197	203.8958532
198	203.8527959
199	203.8011838
200	203.7882113
201	203.7521239
202	203.7284677
203	203.7014796
204	203.6474332
205	203.6073256
206	203.5751557
207	203.5441785
208	203.4945229
209	203.4757297
210	203.4494453
211	203.4063278
212	203.3661678
213	203.3500316
214	203.3267556
215	203.2963542
216	203.2679065
217	203.2344676
218	203.2248778
219	203.2025019
220	203.1621782
221	203.1513101
222	203.1041892
223	203.0699771
224	203.061129
225	203.0481462
226	203.0176855
227	202.9974503
228	202.9788658
229	202.9301759
230	202.9008917
231	202.8519233
232	202.8133543
233	202.7792522
234	202.7554267
235	202.7502033
236	202.7068525
237	202.6771276
238	202.636298
239	202.6025986
240	202.5661424
241	202.5435161
242	202.5152475
243	202.489845
244	202.4808804
245	202.4630387
246	202.4465818
247	202.4263736
248	202.3948067
249	202.3828075
250	202.3544185
251	202.3233092
252	202.2944936
253	202.283973
254	202.2518796
255	202.2294701
256	202.2011076
257	202.1828829
258	202.156166
259	202.1190702
260	202.100428
261	202.0446166
262	202.0180705
263	201.9991629
264	201.9657756
265	201.9376733
266	201.9275629
267	201.9039756
268	201.8783855
269	201.8602611
270	201.8359524
271	201.8207982
272	201.7909707
273	201.7664523
274	201.7546423
275	201.7423701
276	201.7181674
277	201.6995511
278	201.6696742
279	201.6564393
280	201.6351185
281	201.5925075
282	201.5610544
283	201.5480741
284	201.5316548
285	201.509291
286	201.4917631
287	201.4568828
288	201.4421296
289	201.4280485
290	201.4196244
291	201.4004464
292	201.376852
293	201.3692904
294	201.3341481
295	201.3093147
296	201.2846632
297	201.2725077
298	201.2510109
299	201.2302805
300	201.2097287
301	201.1946375
302	201.1771089
303	201.1622064
304	201.1493462
305	201.1246247
306	201.1066026
307	201.09374
308	201.0780611
309	201.0554733
310	201.0361199
311	200.9999128
312	200.9904463
313	200.9728287
314	200.9549993
315	200.9351164
316	200.9191864
317	200.9085734
318	200.8967812
319	200.8792457
320	200.8650987
321	200.8470135
322	200.8329776
323	200.8026831
324	200.7798345
325	200.7653329
326	200.7590776
327	200.7446802
328	200.717376
329	200.707103
330	200.6945768
331	200.6743875
332	200.6557436
333	200.6445432
334	200.6371317
335	200.6266058
336	200.6141672
337	200.5853251
338	200.5747748
339	200.5610294
340	200.550064
341	200.5331346
342	200.5162647
343	200.5040649
344	200.4988012
345	200.4671585
346	200.4417687
347	200.4302949
348	200.4154127
349	200.4042691
350	200.3854817
351	200.3686188
352	200.3593761
353	200.3441982
354	200.3221516
355	200.2922616
356	200.2753861
357	200.265359
358	200.2542154
359	200.2419856
360	200.2225508
361	200.2095934
362	200.2014626
363	200.1809714
364	200.168876
365	200.1549386
366	200.1434396
367	200.1155044
368	200.104598
369	200.0954822
370	200.0865076
371	200.0779601
372	200.0629672
373	200.0506242
374	200.0343376
375	200.0154423
376	199.9927448
377	199.983018
378	199.9636331
379	199.9492233
380	199.9393924
381	199.9201295
382	199.8867787
383	199.8768609
384	199.8753932
385	199.8686899
386	199.8587218
