iter	Passed	Remaining
423	2150	2921
424	2156	2918
425	2162	2913
426	2167	2908
427	2172	2903
428	2177	2897
429	2181	2892
430	2187	2887
431	2192	2882
432	2197	2877
433	2201	2871
434	2207	2866
435	2211	2861
436	2217	2856
437	2222	2851
438	2227	2846
439	2231	2840
440	2236	2834
441	2241	2829
442	2246	2824
443	2251	2819
444	2256	2814
445	2261	2809
446	2266	2803
447	2271	2798
448	2276	2793
449	2281	2788
450	2286	2783
451	2290	2777
452	2294	2770
453	2299	2765
454	2304	2760
455	2309	2755
456	2314	2749
457	2319	2744
458	2325	2741
459	2331	2736
460	2337	2733
461	2343	2728
462	2348	2723
463	2353	2719
464	2358	2714
465	2364	2709
466	2369	2704
467	2374	2699
468	2380	2695
469	2386	2690
470	2392	2687
471	2398	2683
472	2405	2680
473	2413	2678
474	2419	2674
475	2426	2670
476	2431	2666
477	2437	2661
478	2443	2657
479	2448	2652
480	2454	2648
481	2459	2643
482	2465	2638
483	2471	2634
484	2477	2630
485	2483	2626
486	2489	2622
487	2495	2618
488	2502	2614
489	2508	2611
490	2514	2606
491	2519	2601
492	2524	2596
493	2529	2590
494	2533	2584
495	2538	2579
496	2543	2574
497	2548	2569
498	2553	2564
499	2559	2559
500	2564	2554
501	2570	2550
502	2576	2545
503	2580	2539
504	2585	2534
505	2591	2529
506	2596	2524
507	2601	2519
508	2606	2514
509	2610	2508
510	2615	2502
511	2620	2497
512	2625	2492
513	2630	2486
514	2634	2481
515	2639	2475
516	2643	2469
517	2648	2464
518	2653	2458
519	2657	2452
520	2662	2447
521	2667	2442
522	2672	2437
523	2677	2432
524	2682	2426
525	2687	2421
526	2691	2415
527	2696	2410
528	2701	2405
529	2706	2399
530	2710	2394
531	2716	2389
532	2721	2384
533	2726	2379
534	2731	2374
535	2736	2368
536	2740	2362
537	2745	2357
538	2751	2352
539	2756	2347
540	2760	2342
541	2765	2337
542	2769	2331
543	2775	2326
544	2780	2320
545	2785	2315
546	2789	2310
547	2794	2304
548	2799	2299
549	2805	2295
550	2810	2290
551	2816	2285
552	2822	2281
553	2828	2277
554	2834	2272
555	2840	2268
556	2847	2264
557	2852	2259
558	2857	2254
559	2863	2249
560	2869	2245
561	2874	2240
562	2880	2235
563	2885	2230
564	2890	2225
565	2896	2221
566	2901	2215
567	2905	2210
568	2910	2204
569	2915	2199
570	2921	2194
571	2926	2189
572	2930	2183
573	2935	2178
574	2940	2173
575	2945	2168
576	2950	2162
577	2955	2157
578	2959	2152
579	2964	2146
580	2969	2141
581	2974	2136
582	2979	2131
583	2984	2126
584	2990	2121
585	2994	2115
586	2999	2110
587	3004	2105
588	3009	2100
589	3014	2094
590	3018	2089
591	3023	2083
592	3028	2078
593	3033	2073
594	3037	2067
595	3041	2061
596	3046	2056
597	3051	2051
598	3056	2046
599	3061	2041
600	3067	2036
601	3071	2030
602	3076	2025
603	3081	2020
604	3086	2015
605	3091	2009
606	3096	2005
607	3102	2000
608	3107	1994
609	3112	1990
610	3118	1985
611	3123	1980
612	3128	1975
613	3133	1969
614	3138	1964
615	3143	1959
616	3148	1954
617	3153	1949
618	3158	1943
619	3163	1938
620	3168	1933
621	3172	1928
622	3177	1922
623	3181	1917
624	3186	1912
625	3192	1907
626	3197	1901
627	3201	1896
628	3206	1891
629	3211	1886
630	3216	1880
631	3221	1875
632	3226	1870
633	3230	1864
634	3235	1859
635	3240	1854
636	3245	1849
637	3250	1844
638	3255	1839
639	3260	1833
640	3265	1828
641	3270	1823
642	3274	1818
643	3278	1812
644	3284	1807
645	3289	1802
646	3295	1797
647	3300	1792
648	3305	1787
649	3312	1783
650	3318	1779
651	3324	1774
652	3330	1770
653	3336	1765
654	3342	1760
655	3348	1755
656	3354	1751
657	3360	1746
658	3367	1742
659	3373	1737
660	3378	1732
661	3384	1727
662	3389	1723
663	3395	1718
664	3402	1714
665	3407	1708
666	3414	1704
667	3419	1699
668	3424	1694
669	3430	1689
670	3436	1684
671	3443	1680
672	3449	1675
673	3454	1670
674	3459	1665
675	3465	1660
676	3470	1655
677	3476	1651
678	3482	1646
679	3487	1641
680	3493	1636
681	3498	1631
682	3505	1626
683	3510	1621
684	3515	1616
685	3521	1611
686	3528	1607
687	3533	1602
688	3540	1598
689	3545	1593
690	3551	1588
691	3557	1583
692	3562	1578
693	3568	1573
694	3573	1568
695	3579	1563
696	3585	1558
697	3591	1554
698	3598	1549
699	3605	1545
700	3613	1541
701	3619	1536
702	3625	1531
703	3632	1527
704	3639	1522
705	3645	1517
706	3651	1513
707	3657	1508
708	3663	1503
709	3669	1498
710	3676	1494
711	3682	1489
712	3688	1484
713	3694	1479
714	3700	1475
715	3707	1470
716	3713	1465
717	3721	1461
718	3726	1456
719	3733	1451
720	3738	1446
721	3744	1441
722	3750	1436
723	3755	1431
724	3761	1426
725	3767	1421
726	3773	1416
727	3779	1412
728	3785	1407
729	3791	1402
730	3797	1397
731	3803	1392
732	3809	1387
733	3814	1382
734	3819	1377
735	3824	1371
736	3831	1367
737	3836	1362
738	3842	1357
739	3848	1352
740	3854	1347
741	3860	1342
742	3865	1337
743	3872	1332
744	3878	1327
745	3883	1322
746	3889	1317
747	3895	1312
748	3901	1307
749	3907	1302
750	3913	1297
751	3919	1292
752	3925	1287
753	3931	1282
754	3937	1277
755	3943	1272
756	3950	1268
757	3957	1263
758	3962	1258
759	3969	1253
760	3975	1248
761	3982	1243
762	3989	1239
763	3995	1234
764	4002	1229
765	4008	1224
766	4013	1219
767	4019	1214
768	4025	1209
769	4032	1204
770	4038	1199
771	4043	1194
772	4049	1189
773	4055	1184
774	4061	1179
775	4067	1174
776	4073	1169
777	4079	1164
778	4085	1158
779	4090	1153
780	4096	1148
781	4101	1143
782	4107	1138
783	4113	1133
784	4118	1127
785	4124	1122
786	4129	1117
787	4134	1112
788	4141	1107
789	4145	1102
790	4151	1096
791	4156	1091
792	4161	1086
793	4166	1081
794	4171	1075
795	4177	1070
796	4182	1065
797	4188	1060
798	4193	1055
799	4199	1049
800	4204	1044
801	4209	1039
802	4215	1034
803	4220	1028
804	4225	1023
805	4231	1018
806	4236	1013
807	4241	1007
808	4247	1002
809	4253	997
810	4259	992
811	4265	987
812	4272	982
813	4278	977
814	4284	972
815	4291	967
816	4298	962
817	4304	957
818	4310	952
819	4316	947
820	4323	942
821	4329	937
822	4335	932
823	4341	927
824	4349	922
825	4364	919
826	4376	915
827	4384	910
828	4392	906
829	4398	900
830	4404	895
831	4411	890
832	4416	885
833	4421	880
834	4427	874
835	4432	869
836	4438	864
837	4444	859
838	4450	854
839	4457	849
840	4463	843
841	4468	838
842	4473	833
843	4479	827
844	4485	822
845	4490	817
846	4496	812
847	4502	807
848	4508	801
849	4513	796
850	4518	791
851	4524	785
852	4529	780
853	4534	775
854	4539	769
855	4545	764
856	4550	759
857	4556	754
858	4562	748
859	4567	743
860	4573	738
861	4579	733
862	4584	727
863	4590	722
864	4596	717
865	4602	712
866	4608	706
867	4614	701
868	4619	696
869	4625	691
870	4631	685
871	4636	680
872	4642	675
873	4647	670
874	4653	664
875	4658	659
876	4664	654
877	4669	648
878	4675	643
879	4680	638
880	4685	632
881	4691	627
882	4697	622
883	4703	617
884	4709	611
885	4714	606
886	4719	601
887	4725	596
888	4731	590
889	4736	585
890	4742	580
891	4747	574
892	4753	569
893	4758	564
894	4764	558
895	4769	553
896	4775	548
897	4780	543
898	4786	537
899	4791	532
900	4797	527
901	4802	521
902	4808	516
903	4813	511
904	4818	505
905	4824	500
906	4829	495
907	4834	489
908	4839	484
909	4845	479
910	4850	473
911	4855	468
912	4860	463
913	4866	457
914	4871	452
915	4877	447
916	4882	441
917	4888	436
918	4893	431
919	4898	425
920	4904	420
921	4909	415
922	4914	410
